duplicate_type,value,count,source_students,global_project_ids
same_project_url,http://dx.doi.org/10.20366/unimib/unidata/SN230-2.0,2,23460503;23460503,54507;54703
same_project_url,http://dx.doi.org/10.20366/unimib/unidata/SN245-1.0,2,23460503;23460503,53772;54076
same_project_url,http://dx.doi.org/10.20366/unimib/unidata/SN247-1.0,2,23460503;23460503,54573;54769
same_project_url,http://dx.doi.org/10.25673/1020,2,23206422;23293539,26742;35891
same_project_url,http://dx.doi.org/10.25673/102253,2,23206422;23293539,26765;35904
same_project_url,http://dx.doi.org/10.25673/103324,2,23206422;23293539,26744;35894
same_project_url,http://dx.doi.org/10.25673/108853,2,23206422;23293539,26743;35893
same_project_url,http://dx.doi.org/10.25673/108862,2,23206422;23293539,26909;35996
same_project_url,http://dx.doi.org/10.25673/108996,2,23206422;23293539,27013;36044
same_project_url,http://dx.doi.org/10.25673/109859,2,23206422;23293539,26958;36015
same_project_url,http://dx.doi.org/10.25673/111166,2,23206422;23293539,26832;35942
same_project_url,http://dx.doi.org/10.25673/115223,2,23206422;23293539,26728;35887
same_project_url,http://dx.doi.org/10.25673/115579,2,23206422;23293539,26800;35924
same_project_url,http://dx.doi.org/10.25673/116127,2,23206422;23293539,26790;35917
same_project_url,http://dx.doi.org/10.25673/117058,2,23206422;23293539,26919;36002
same_project_url,http://dx.doi.org/10.25673/117076,2,23206422;23293539,26727;35886
same_project_url,http://dx.doi.org/10.25673/117116,2,23206422;23293539,26825;35937
same_project_url,http://dx.doi.org/10.25673/118065,2,23206422;23293539,27001;36036
same_project_url,http://dx.doi.org/10.25673/118775,2,23206422;23293539,26725;35885
same_project_url,http://dx.doi.org/10.25673/118991,2,23206422;23293539,26805;35927
same_project_url,http://dx.doi.org/10.25673/119062,2,23206422;23293539,26942;36008
same_project_url,http://dx.doi.org/10.25673/119076,2,23206422;23293539,26900;35984
same_project_url,http://dx.doi.org/10.25673/120285,2,23206422;23293539,26984;36027
same_project_url,http://dx.doi.org/10.25673/120413,2,23206422;23293539,26863;35955
same_project_url,http://dx.doi.org/10.25673/120768,2,23206422;23293539,26913;35997
same_project_url,http://dx.doi.org/10.25673/120819,2,23206422;23293539,26990;36030
same_project_url,http://dx.doi.org/10.25673/120882,2,23206422;23293539,26950;36014
same_project_url,http://dx.doi.org/10.25673/121098,2,23206422;23293539,26722;35883
same_project_url,http://dx.doi.org/10.25673/121378,2,23206422;23293539,26809;35932
